TABLE NO.  1
 NUM             IPRED           NPDE            CWRES           DV              PRED            RES             WRES
    1.200000E+02    8.349419E+01    1.281552E+00    2.275015E+00    1.269900E+02    1.284640E+02   -1.474028E+00    1.381294E+00
    1.210000E+02    7.511316E+01   -1.080319E+00   -1.440525E+00    5.846400E+01    1.156925E+02   -5.722852E+01   -9.827109E-01
    1.220000E+02    6.057874E+01   -5.828415E-01   -6.047010E-01    5.731400E+01    9.386332E+01   -3.654932E+01   -4.974666E-01
    1.230000E+02    4.136273E+01   -4.958503E-01   -3.944506E-01    4.097000E+01    6.595115E+01   -2.498115E+01   -4.249919E-01
    1.240000E+02    2.239618E+01   -3.853205E-01   -2.442331E-01    2.283700E+01    3.970887E+01   -1.687187E+01   -3.148903E-01
    1.250000E+02    1.771821E+01   -4.583978E-01   -4.658633E-01    1.721800E+01    3.333955E+01   -1.612155E+01   -3.740575E-01
    1.290000E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    1.300000E+02    9.533394E+01    1.554774E+00    1.601791E+00    1.229900E+02    9.236222E+01    3.062778E+01    1.601880E+00
    1.310000E+02    1.128901E+02   -1.833915E+00   -1.824434E+00    7.137200E+01    1.155611E+02   -4.418905E+01   -1.731023E+00
    1.320000E+02    1.159352E+02    5.148374E-01    5.040658E-01    1.295300E+02    1.240031E+02    5.526919E+00    4.541549E-01
    1.330000E+02    1.130007E+02    1.678940E-01    9.720717E-03    1.157100E+02    1.228232E+02   -7.113194E+00    4.501866E-05
    1.340000E+02    1.029728E+02    5.852138E-02    2.235672E-02    1.057100E+02    1.130606E+02   -7.350600E+00    1.039859E-02
    1.350000E+02    9.362436E+01   -1.244452E+00   -1.312053E+00    7.069300E+01    1.023433E+02   -3.165033E+01   -1.171060E+00
    1.360000E+02    8.598721E+01    4.178930E-02   -3.834655E-02    8.639600E+01    9.332189E+01   -6.925890E+00   -3.871743E-02
    1.370000E+02    7.867043E+01   -7.526986E-02   -7.852384E-02    7.802700E+01    8.467111E+01   -6.644106E+00   -7.425603E-02
    1.380000E+02    6.648090E+01   -1.594259E-01   -1.892840E-01    6.391400E+01    7.043166E+01   -6.517658E+00   -1.773007E-01
    1.390000E+02    4.838120E+01    8.297738E-01    7.445381E-01    5.498000E+01    4.993056E+01    5.049443E+00    6.981451E-01
    1.400000E+02    3.087350E+01    8.064212E-01    8.708149E-01    3.565600E+01    3.117207E+01    4.483929E+00    8.280342E-01
    1.410000E+02    2.618414E+01   -2.880175E-01   -4.152123E-01    2.352000E+01    2.638742E+01   -2.867421E+00   -3.943553E-01
    1.420000E+02    1.360002E+01    7.170661E-01    8.737617E-01    1.587100E+01    1.381842E+01    2.052583E+00    8.074246E-01
    1.450000E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    1.460000E+02    9.831866E+01    5.436728E-01    5.885260E-01    1.119000E+02    9.349474E+01    1.840526E+01    6.201174E-01
    1.470000E+02    1.334436E+02    8.365173E-02   -6.458173E-03    1.330800E+02    1.175756E+02    1.550445E+01   -2.230022E-02
    1.480000E+02    1.446232E+02    2.361280E-01    1.156876E-01    1.456200E+02    1.222283E+02    2.339170E+01    1.067393E-01
    1.490000E+02    1.484948E+02   -5.053211E-01   -4.435136E-01    1.309500E+02    1.211927E+02    9.757314E+00   -5.600837E-01
    1.500000E+02    1.419231E+02    1.613358E+00    1.407640E+00    1.756300E+02    1.116462E+02    6.398377E+01    1.703158E+00
    1.510000E+02    1.311339E+02    7.170661E-01    5.860429E-01    1.402800E+02    1.020854E+02    3.819460E+01    6.992647E-01
    1.520000E+02    1.183048E+02   -6.331026E-01   -4.560514E-01    1.019800E+02    9.197962E+01    1.000038E+01   -6.042618E-01
    1.530000E+02    1.072863E+02    9.674216E-01    7.782935E-01    1.191800E+02    8.364439E+01    3.553561E+01    9.294835E-01
    1.540000E+02    8.782389E+01    3.495630E-01    2.540277E-01    8.882000E+01    6.899392E+01    1.982608E+01    2.507825E-01
    1.550000E+02    6.203666E+01    3.853205E-01    3.713843E-01    6.463800E+01    4.890894E+01    1.572906E+01    3.496166E-01
    1.560000E+02    3.940859E+01    1.644854E+00    1.366192E+00    4.921400E+01    2.989299E+01    1.932101E+01    1.601487E+00
    1.570000E+02    3.407077E+01    6.744898E-01    5.208139E-01    3.691000E+01    2.511882E+01    1.179118E+01    5.555988E-01
    1.580000E+02    2.031810E+01   -6.536562E-01   -3.167524E-01    1.891400E+01    1.309759E+01    5.816408E+00   -4.384462E-01
    1.610000E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    1.620000E+02    2.906649E+02    2.447285E-01    2.108289E-01    3.086000E+02    2.669794E+02    4.162055E+01    2.566119E-01
    1.630000E+02    4.198001E+02    6.640369E-01    4.995292E-01    4.595300E+02    3.593342E+02    1.001958E+02    5.542101E-01
    1.640000E+02    4.432874E+02    7.170661E-01    4.685142E-01    4.787200E+02    3.713518E+02    1.073682E+02    5.184870E-01
    1.650000E+02    4.605218E+02    2.447285E-01    1.620207E-01    4.628300E+02    3.728719E+02    8.995810E+01    1.516228E-01
    1.660000E+02    4.400533E+02    5.436728E-01    4.359076E-01    4.623400E+02    3.478147E+02    1.145253E+02    4.830960E-01
    1.670000E+02    3.967223E+02    3.054808E-01    1.968753E-01    3.978400E+02    3.124678E+02    8.537218E+01    1.867996E-01
    1.680000E+02    3.545795E+02    3.763366E-01    2.348877E-01    3.596500E+02    2.810379E+02    7.861212E+01    2.262483E-01
    1.690000E+02    3.193928E+02    8.416212E-01    6.868816E-01    3.542100E+02    2.552555E+02    9.895453E+01    7.668945E-01
    1.700000E+02    2.634617E+02   -7.279133E-01   -4.941830E-01    2.320000E+02    2.137726E+02    1.822741E+01   -6.850434E-01
    1.710000E+02    1.883994E+02    2.326348E+00    2.190227E+00    2.688400E+02    1.552024E+02    1.136376E+02    2.473145E+00
    1.720000E+02    1.231954E+02    1.763742E-01    1.888127E-01    1.277400E+02    9.912037E+01    2.861963E+01    1.015124E-01
    1.730000E+02    1.073873E+02    1.527380E+00    1.389314E+00    1.375000E+02    8.441560E+01    5.308440E+01    1.585437E+00
    1.740000E+02    6.494151E+01    3.342793E-02    5.069345E-02    6.663100E+01    4.566463E+01    2.096637E+01    3.672684E-02
    1.750000E+02    4.252984E+01   -2.326348E+00   -1.400229E+00    3.158200E+01    2.761319E+01    3.968814E+00   -1.838475E+00
    1.760000E+02    2.787003E+01   -4.215776E-01   -1.711996E-01    2.760800E+01    1.675323E+01    1.085477E+01   -1.795760E-02
    1.770000E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    1.780000E+02    1.979195E+02    8.180418E-01    5.823104E-01    2.118700E+02    1.843640E+02    2.750596E+01    6.638138E-01
    1.790000E+02    2.204021E+02   -1.475791E+00   -1.576091E+00    1.505500E+02    2.292336E+02   -7.868363E+01   -1.450536E+00
    1.800000E+02    2.199139E+02    1.262784E+00    1.485605E+00    2.901800E+02    2.447910E+02    4.538901E+01    1.298077E+00
    1.810000E+02    2.122316E+02   -7.949086E-01   -8.557972E-01    1.835200E+02    2.467241E+02   -6.320414E+01   -7.300769E-01
    1.820000E+02    1.919545E+02   -7.498695E-01   -7.575662E-01    1.717900E+02    2.327003E+02   -6.091027E+01   -6.196601E-01
    1.830000E+02    1.718581E+02    2.619846E-01    3.807736E-01    1.937600E+02    2.120159E+02   -1.825594E+01    2.888804E-01
    1.840000E+02    1.564206E+02   -8.902469E-01   -9.817102E-01    1.342800E+02    1.948696E+02   -6.058962E+01   -7.818659E-01
    1.850000E+02    1.404589E+02    1.158484E+00    1.500696E+00    1.907100E+02    1.768075E+02    1.390247E+01    1.133513E+00
    1.860000E+02    1.178294E+02   -4.491363E-01   -6.762843E-01    1.091900E+02    1.510041E+02   -4.181406E+01   -5.709807E-01
    1.870000E+02    8.561341E+01   -1.142290E+00   -1.552737E+00    6.457100E+01    1.140124E+02   -4.944144E+01   -1.256243E+00
    1.880000E+02    5.113223E+01   -4.399132E-01   -5.704785E-01    4.818800E+01    7.387214E+01   -2.568414E+01   -5.836663E-01
    1.890000E+02    4.224803E+01   -1.713249E+00   -2.340589E+00    2.461000E+01    6.332746E+01   -3.871746E+01   -1.723676E+00
    1.900000E+02    2.010329E+01    3.584588E-01    1.084907E+00    2.490500E+01    3.559789E+01   -1.069289E+01    4.393644E-01
    1.910000E+02    1.137842E+01   -1.678940E-01   -1.298062E-01    1.114300E+01    2.301026E+01   -1.186726E+01   -4.425978E-02
    1.930000E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    1.940000E+02    1.099948E+02   -2.275450E-01   -9.912732E-02    1.194000E+02    1.669149E+02   -4.751494E+01   -2.303559E-01
    1.950000E+02    1.584364E+02   -1.300781E+00   -1.817909E+00    1.182900E+02    2.349043E+02   -1.166143E+02   -1.316527E+00
    1.960000E+02    1.692570E+02   -3.763366E-01   -4.583598E-01    1.714400E+02    2.478151E+02   -7.637505E+01   -4.073969E-01
    1.970000E+02    1.740033E+02   -9.153651E-01   -1.179998E+00    1.490300E+02    2.493825E+02   -1.003525E+02   -8.771971E-01
    1.980000E+02    1.678932E+02   -7.388468E-01   -9.388052E-01    1.493800E+02    2.342091E+02   -8.482909E+01   -7.139115E-01
    1.990000E+02    1.586106E+02    7.279133E-01    1.190124E+00    2.068100E+02    2.160450E+02   -9.235014E+00    7.908761E-01
    2.000000E+02    1.494231E+02   -1.095418E+00   -1.315127E+00    1.186500E+02    1.991384E+02   -8.048835E+01   -1.017003E+00
    2.010000E+02    1.399121E+02    6.331026E-01    9.260807E-01    1.725300E+02    1.822800E+02   -9.750030E+00    6.323570E-01
    2.020000E+02    1.235400E+02   -3.318533E-01   -4.434120E-01    1.167300E+02    1.545784E+02   -3.784839E+01   -4.123020E-01
    2.030000E+02    9.940423E+01   -6.027625E-01   -5.875420E-01    8.903200E+01    1.169809E+02   -2.794891E+01   -5.569120E-01
    2.040000E+02    6.935453E+01    4.399132E-01    5.462496E-01    7.632500E+01    7.660767E+01   -2.826725E-01    4.592688E-01
    2.050000E+02    5.987417E+01   -1.451407E+00   -1.513395E+00    4.093700E+01    6.555154E+01   -2.461454E+01   -1.325631E+00
    2.060000E+02    3.327760E+01    7.949086E-01    8.634978E-01    3.831800E+01    3.741472E+01    9.032843E-01    8.443484E-01
    2.070000E+02    2.140944E+01    6.850168E-01    5.077301E-01    2.314500E+01    2.441045E+01   -1.265446E+00    5.769833E-01
    2.090000E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    2.100000E+02    2.198970E+02    4.491363E-01    3.012698E-01    2.421800E+02    2.528261E+02   -1.064606E+01    2.373318E-01
